concept_id|concept_name|concept_code
45611497|Peters anomaly|C537884
45611498|Bangstad syndrome|C537902
45612997|Gastrectomy|D005743
45612998|Gentamycin|D005839
45612999|Gingivoplasty|D005893
45614511|Sadism|D012448
45614512|Sulfasalazine|D012460
45614513|Salpingostomy|D012489
45614514|Sarcoidosis|D012507
45614515|Schistosomiasis|D012552
45614516|Schizophrenia, Paranoid|D012563
45619043|Funnel Chest|D005660
45619044|Gallopamil|D005711
45619127|Kwashiorkor|D007732
45610052|fluocortin butyl ester|C011824
45610053|mesulfen|C011911
45610054|stevioside|C012043
45610055|brovanexine|C012222
45610056|tofisopam|C012582
45610057|turmeric extract|C012596
45610058|aloglutamol|C012712
45610059|flumequine|C012976
45614584|Tracheal Neoplasms|D014134
45614585|Transplantation|D014180
45614586|Trephining|D014207
45614587|Tretinoin|D014212
45614588|Triamterene|D014223
45614589|Trilogy of Fallot|D014286
45614590|Trioxsalen|D014307
45614591|Tripelennamine|D014309
45616097|astaxanthin|C005948
45616098|acetohydroxamic acid|C006358
45616099|bentoquatam|C006691
45616100|chlorophyllin|C007020
45616101|4-cresyl acetate|C007147
45616102|ethaverine|C007639
45616103|invert sugar|C008133
45616104|demelverin|C008405
45616105|metylperon|C008522
45616106|xylometazoline|C009695
45616107|trilostane|C009954
45616108|aloxiprin|C010843
45616109|amineptin|C011597
45616110|myrtecaine|C011940
45616111|nabilone|C011941
45616112|clobazam|C012255
45616113|aminopentamide|C012725
45616114|gamma-oryzanol|C013172
45616115|tolciclate|C013305
45616116|guaiacolsulfonic acid|C013710
45616117|benphothiamine|C013835
45616118|tocophersolan|C014225
45616119|carazolol|C014382
45616120|reproterol|C014792
45616121|dexbrompheniramine|C015121
45616122|piretanide|C015451
45616123|1,3,5-trimethoxybenzene|C015560
45616124|pipazethate|C016064
45616125|ethoxazene|C016432
45616126|aldioxa|C017231
45616127|oxitropium|C017590
45616128|paregoric|C017652
45616129|azosemid|C018222
45619141|Leukocytosis|D007964
45619142|Levocardia|D007979
45619143|Linitis Plastica|D008039
45619226|Pancreatectomy|D010180
45610158|fexofenadine|C093230
45610159|olmesartan medoxomil|C097933
45610160|linezolid|C098010
45610161|resmethrin|C100036
45610162|deserpidine|C100104
45610163|phensuximide|C100129
45610164|trimethobenzamide|C100146
45610165|iodoxamate|C100278
45610166|Capromab Pendetide|C101315
45610167|retigabine|C101866
45610168|ancestim|C105861
45610169|microcrystalline cellulose|C109691
45610170|shark cartilage extract|C111481
45610171|gadoversetamide|C112666
45610172|Ospemifene|C119141
45610173|entecavir|C413685
45610174|peramivir|C414210
45610175|omalizumab|C426106
45610176|regadenoson|C430916
45610177|degarelix|C431566
45610178|silybin|C440975
45610179|vandetanib|C452423
45610180|lenalidomide|C467567
45610181|natalizumab|C469407
45610182|insulin, lente, human|C484564
45610183|telavancin|C487637
45610184|ceftaroline|C490727
45610185|pegaptanib|C495058
45610186|ramelteon|C495910
45610187|panitumumab|C500592
45610188|Ticagrelor|C503700
45610189|pradofloxacin|C507250
45610190|raltegravir|C507898
45610191|lisdexamfetamine|C514020
45610192|trisodium citrate|C514290
45610193|mipomersen|C524142
45610194|teriflunomide|C527525
45610195|docosanol|C529236
45610196|rilonacept|C531377
45611687|Dermatitis, Atopic|D003876
45611688|Desoximetasone|D003899
45611689|Dexetimide|D003909
45611690|Diabetes Mellitus, Type 2|D003924
45611691|Diagnostic Imaging|D003952
45611692|Diathermy|D003972
45611693|Diatrizoate|D003973
45611694|Dichlorophen|D004003
45613204|Panophthalmitis|D010202
45613205|Papaverine|D010208
45613206|Paraplegia|D010264
45613207|Parturient Paresis|D010319
45613208|Pentagastrin|D010418
45613209|Pentobarbital|D010424
45613210|Peptic Ulcer Hemorrhage|D010438
45613211|Periapical Granuloma|D010484
45613212|Polyarteritis Nodosa|D010488
45613213|Pericoronitis|D010497
45613214|Perinephritis|D010501
45613215|Periodontal Pocket|D010514
45613216|Peritoneal Lavage|D010533
45613217|Peritonitis|D010538
45613218|Phenmetrazine|D010633
45613219|Phenolsulfonphthalein|D010637
45613220|Phentolamine|D010646
45613221|Phenylalanine|D010649
45613222|Phenylpropanolamine|D010665
45613223|Phototherapy|D010789
45613224|Pilocarpine|D010862
45613225|Pinta|D010874
45613226|Piperonyl Butoxide|D010882
45613227|Plasma Exchange|D010951
45613228|Tissue Plasminogen Activator|D010959
45617744|Clobetasol|D002990
45617745|Clofazimine|D002991
45617746|Clonidine|D003000
45617747|Cloning, Molecular|D003001
45617748|Clotrimazole|D003022
45617749|Clozapine|D003024
45617750|Clubfoot|D003025
45617751|Cocaine|D003042
45617752|Cod Liver Oil|D003060
45619268|Popliteal Cyst|D011151
45619269|Portacaval Shunt, Surgical|D011167
45619270|Potassium Permanganate|D011196
45619271|Empowerment|D011209
45619272|Prednisone|D011241
45610281|PICA syndrome|C538664
45611785|Gene Amplification|D005784
45613294|Sodium Fluoride|D012969
45613295|Sodium Morrhuate|D012976
45613296|Spasm|D013035
45617819|Entamoebiasis|D004749
45617820|Enteritis|D004751
45617821|Enterobius|D004757
45617822|Enterotoxemia|D004767
45617823|Epistaxis|D004844
45617824|Vitamin D 2|D004872
45617825|Ergonovine|D004874
45617826|Erythema Multiforme|D004892
45617827|Erythrityl Tetranitrate|D004897
45619343|Starch|D013213
45619344|Stress, Psychological|D013315
45619345|Subphrenic Abscess|D013369
45619346|Sulfadimethoxine|D013412
45619347|Sulfaguanidine|D013414
45619348|Sunburn|D013471
45619349|Superovulation|D013480
45610352|Amniotic Band Syndrome|D000652
45610353|Amoxapine|D000657
45613373|Urologic Neoplasms|D014571
45613374|Vaginal Fistula|D014624
45613375|Vaginitis|D014627
45614876|Pythiosis|D058968
45610405|Brain Neoplasms|D001932
45610406|Bromazepam|D001960
45610407|Bromocriptine|D001971
45610408|Bupivacaine|D002045
45610409|Buspirone|D002065
45610410|Caloric Tests|D002150
45610411|Cambendazole|D002159
45610412|Capgras Syndrome|D002194
45610413|Carbenicillin|D002228
45610414|Carbuncle|D002270
45611926|Norethynodrel|D009641
45611927|Norfloxacin|D009643
45611928|Norgestrienone|D009645
45611496|Laryngeal papillomatosis|C537876
45611446|Molybdenum cofactor deficiency|C535811
45611447|Neurosarcoidosis|C535814
45611448|Pseudovaginal perineoscrotal hypospadias|C535830
45611449|Hemangiomatosis, familial pulmonary capillary|C535861
45611450|Rokitansky-Aschoff sinuses of the gallbladder|C535869
45611451|Marcus Gunn phenomenon|C535908
45611452|Cholesterol pneumonia|C535937
45611453|Desbuquois syndrome|C535943
45611454|Epidermolysis bullosa simplex, Ogna type|C535962
45611455|Colloid cysts of third ventricle|C535966
45611456|Accessory navicular bone|C536002
45611457|Epidermal nevus syndrome|C536114
45611458|Night blindness, congenital stationary|C536122
45611459|Keratosis Follicularis Spinulosa Decalvans, X-Linked|C536159
45611460|Ehlers-Danlos syndrome type 1|C536194
45611461|Cryofibrinogenemia|C536218
45611462|Blepharophimosis syndrome Ohdo type|C536232
45611463|Blue cone monochromatism|C536238
45611464|Dilated cardiomyopathy 1A|C536277
45611465|Idiopathic pulmonary hemosiderosis|C536281
45611466|Polydactyly preaxial type 1|C536332
45611467|Visceral Steatosis, Congenital|C536351
45611468|Neonatal Systemic lupus erythematosus|C536397
45611469|Progeroid syndrome, neonatal|C536423
45611470|Urban Schosser Spohn syndrome|C536476
45611471|Tetrasomy X|C536502
45611472|Thanatophoric dysplasia, type 2|C536508
45611473|Arthrogryposis multiplex congenita|C536613
45611474|Pendred syndrome|C536648
45611475|Wrinkly skin syndrome|C536750
45611476|Xanthogranulomatous cholecystitis|C536762
45611477|Tomaculous neuropathy|C536965
45611478|Alopecia universalis|C537055
45611479|Orbital lymphoma|C537131
45611480|Sacral agenesis|C537220
45611481|Gorlin Chaudhry Moss syndrome|C537290
45611482|Granulosa cell tumor of the ovary|C537296
45611483|Greenberg dysplasia|C537299
45611484|Shwachman syndrome|C537330
45611485|Pituitary dwarfism 1|C537404
45611486|Buschke-Ollendorff syndrome|C537415
45611487|Aromatic amino acid decarboxylase deficiency|C537437
45611488|Meralgia paresthetica|C537458
45611489|Scleroatonic muscular dystrophy|C537521
45611490|Michelin tire baby syndrome|C537575
45611491|Short rib-polydactyly syndrome, Beemer type|C537599
45611492|Rhabdomyosarcoma of the orbit|C537605
45611493|Basan syndrome|C537659
45611494|Oculocutaneous albinism type 2|C537730
45611495|Benign symmetrical lipomatosis|C537837
45611499|Chondrodysplasia, Grebe type|C537915
45611500|Aganglionosis, total intestinal|C538058
45611501|Curly hair-ankyloblepharon-nail dysplasia syndrome|C538074
45611502|Human Herpesvirus 6 encephalitis|C538117
45611503|Hyperglycerolemia|C538138
45611504|Acquired ichthyosis|C538175
45611505|Adrenal hyperplasia, congenital, type 5|C538237
45611506|Amelogenesis imperfecta local hypoplastic form|C538240
45611507|Amyopathic dermatomyositis|C538250
45611508|Canaliculitis|C538406
45611509|Aplastic anemia, idiopathic|C538494
45611510|Donath-Landsteiner hemolytic anemia|C538618
45611511|Mitochondrial cytopathy|C540770
45611512|canakinumab|C541220
45611513|vilanterol|C550468
45611514|Filgrastim|C554038
45611515|insulin, protamine zinc, beef-pork|C557867
45611516|Hyperpigmentation of Eyelids|C562400
45611517|Bladder Diverticulum|C562406
45611518|Radioulnar Synostosis|C562408
45611519|Annular Erythema|C562461
45611520|Pili Torti|C562485
45611521|Robinow Syndrome, Autosomal Dominant|C562492
45611522|German Syndrome|C562543
45611523|Megalodactyly|C562546
45611524|Dyskeratosis, Hereditary Benign Intraepithelial|C562551
45611525|Colonic Atresia|C562562
45611526|Visceral Myopathy, Familial|C562574
45611527|Cirrhosis, Cryptogenic|C562577
