id|drug|RxNorm_Preferred_Term|HOI|MedDRA_Preferred_Term|evidence_type|modality|evidence_source_code_id|statistic value|evidence_linkout|statistic_type
1|1308216|Lisinopril|36617553|Uterine leiomyoma|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
2|1308216|Lisinopril|36617553|Uterine leiomyoma|aers_ebgm||5|0.5059999824|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
3|1308216|Lisinopril|36617553|Uterine leiomyoma|aers_eb05||5|0.1949999928|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
4|1308216|Lisinopril|35205025|Dizziness|aers_report_count||5|938|https://open.fda.gov/drug/event/reference/|COUNT
5|1308216|Lisinopril|35205025|Dizziness|aers_ebgm||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
6|1308216|Lisinopril|35205025|Dizziness|aers_eb05||5|1.4099999666|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
7|1308216|Lisinopril|35607082|Blepharitis|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
8|1308216|Lisinopril|35607082|Blepharitis|aers_ebgm||5|0.248999998|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
9|1308216|Lisinopril|35607082|Blepharitis|aers_eb05||5|0.0560000017|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
10|1308216|Lisinopril|36110649|Septic shock|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
11|1308216|Lisinopril|36110649|Septic shock|aers_ebgm||5|0.2579999864|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
12|1308216|Lisinopril|36110649|Septic shock|aers_eb05||5|0.1469999999|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
13|1308216|Lisinopril|35708603|Pharyngitis|aers_report_count||5|141|https://open.fda.gov/drug/event/reference/|COUNT
14|1308216|Lisinopril|35708603|Pharyngitis|aers_ebgm||5|2.2200000286|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|EBGM
