drug_concept_id|rxnorm_concept_name|outcome_concept_id|meddra_pt_concept_name|aers_report_count|aers_ebgm|aers_eb05|aers_has_hlt_outcome_w_eb05_gt1|on_label_all|on_label_specific|label_max_is_adversereaction_specific|label_max_is_postmarketing_specific|lit_total_paper_count|lit_specific_publication_count|lit_specific_randomized_controlled_trial_count|lit_specific_case_reports_count|lit_specific_meta_analysis_count|lit_specific_review_count|lit_specific_cochrane_count
1308216|Lisinopril|36617553|Uterine leiomyoma|3|0.5059999824|0.1949999928|0|0|0|0|0|0|0|0|0|0|0|0
1308216|Lisinopril|35205025|Dizziness|938|1.4900000095|1.4099999666|1|1|1|1|0|749|1|0|0|0|0|0
1308216|Lisinopril|35607082|Blepharitis|1|0.248999998|0.0560000017|1|1|0|0|0|79|0|0|0|0|0|0
1308216|Lisinopril|36110649|Septic shock|9|0.2579999864|0.1469999999|1|1|0|0|0|927|0|0|0|0|0|0
1308216|Lisinopril|35708603|Pharyngitis|141|2.2200000286|1.9299999475|1|1|1|1|1|80|0|0|0|0|0|0
1308216|Lisinopril|35406368|Hearing impaired|6|0.5429999828|0.273999989|0|0|0|0|0|0|0|0|0|0|0|0
1308216|Lisinopril|36919212|Sleep disorder due to general medical condition, insomnia type|2|1.1599999666|0.3720000088|0|0|0|0|0|0|0|0|0|0|0|0
1308216|Lisinopril|35104405|Hodgkin's disease|1|0.3779999912|0.0850000009|0|0|0|0|0|33|0|0|0|0|0|0
1308216|Lisinopril|36516872|Torticollis|1|0.3770000041|0.0850000009|0|0|0|0|0|232|0|0|0|0|0|0
1308216|Lisinopril|35809130|Flushing|53|0.4320000112|0.3429999948|1|1|1|1|1|1988|1|0|1|0|0|0
1308216|Lisinopril|35707732|Pancreatic disorder|8|1.2000000477|0.6629999876|1|0|0|0|0|0|0|0|0|0|0|0
1308216|Lisinopril|36110700|Pharyngeal abscess|1|1.0800000429|0.2440000027|1|1|0|0|0|42|0|0|0|0|0|0
1308216|Lisinopril|36313476|White blood cell count decreased|16|0.2029999942|0.1330000013|1|0|0|0|0|0|0|0|0|0|0|0
1308216|Lisinopril|36818660|Breech presentation|5|3.2999999523|1.5499999523|1|0|0|0|0|15|0|0|0|0|0|0
1308216|Lisinopril|37320098|Actinic keratosis|2|0.72299999|0.2319999933|0|0|0|0|0|14|0|0|0|0|0|0
1308216|Lisinopril|35205384|Dressler's syndrome|1|1.0399999619|0.2349999994|1|0|0|0|0|0|0|0|0|0|0|0
