"rxcui"	"conceptId"	"drugBank"
"http://purl.bioontology.org/ontology/RXNORM/6826"	"http://purl.org/net/ohdsi#904250"	"http://bio2rdf.org/drugbank:DB00703"
"http://purl.bioontology.org/ontology/RXNORM/632"	"http://purl.org/net/ohdsi#1389036"	"http://bio2rdf.org/drugbank:DB00305"
"http://purl.bioontology.org/ontology/RXNORM/10402"	"http://purl.org/net/ohdsi#1037005"	"http://bio2rdf.org/drugbank:DB00470"
"http://purl.bioontology.org/ontology/RXNORM/3521"	"http://purl.org/net/ohdsi#1331270"	"http://bio2rdf.org/drugbank:DB00975"
"http://purl.bioontology.org/ontology/RXNORM/3288"	"http://purl.org/net/ohdsi#719311"	"http://bio2rdf.org/drugbank:DB01576"
"http://purl.bioontology.org/ontology/RXNORM/8597"	"http://purl.org/net/ohdsi#19049909"	"http://bio2rdf.org/drugbank:DB06715"
"http://purl.bioontology.org/ontology/RXNORM/298665"	"http://purl.org/net/ohdsi#909795"	"http://bio2rdf.org/drugbank:DB06802"
"http://purl.bioontology.org/ontology/RXNORM/8328"	"http://purl.org/net/ohdsi#945286"	"http://bio2rdf.org/drugbank:DB01085"
"http://purl.bioontology.org/ontology/RXNORM/711942"	"http://purl.org/net/ohdsi#19012346"	"http://bio2rdf.org/drugbank:DB06210"
"http://purl.bioontology.org/ontology/RXNORM/591622"	"http://purl.org/net/ohdsi#780442"	"http://bio2rdf.org/drugbank:DB01273"
"http://purl.bioontology.org/ontology/RXNORM/84857"	"http://purl.org/net/ohdsi#1348265"	"http://bio2rdf.org/drugbank:DB01217"
"http://purl.bioontology.org/ontology/RXNORM/6922"	"http://purl.org/net/ohdsi#1707164"	"http://bio2rdf.org/drugbank:DB00916"
"http://purl.bioontology.org/ontology/RXNORM/2599"	"http://purl.org/net/ohdsi#43081542"	"http://bio2rdf.org/drugbank:DB00575"
"http://purl.bioontology.org/ontology/RXNORM/27100"	"http://purl.org/net/ohdsi#19069046"	"http://bio2rdf.org/drugbank:DB04865"
"http://purl.bioontology.org/ontology/RXNORM/10767"	"http://purl.org/net/ohdsi#704599"	"http://bio2rdf.org/drugbank:DB00897"
"http://purl.bioontology.org/ontology/RXNORM/8113"	"http://purl.org/net/ohdsi#19033710"	"http://bio2rdf.org/drugbank:DB03783"
"http://purl.bioontology.org/ontology/RXNORM/59763"	"http://purl.org/net/ohdsi#1781406"	"http://bio2rdf.org/drugbank:DB00649"
"http://purl.bioontology.org/ontology/RXNORM/11476"	"http://purl.org/net/ohdsi#19011064"	"http://bio2rdf.org/drugbank:DB01133"
"http://purl.bioontology.org/ontology/RXNORM/24457"	"http://purl.org/net/ohdsi#19059477"	"http://bio2rdf.org/drugbank:DB03994"
"http://purl.bioontology.org/ontology/RXNORM/1547099"	"http://purl.org/net/ohdsi#45775760"	"http://bio2rdf.org/drugbank:DB09034"
"http://purl.bioontology.org/ontology/RXNORM/8339"	"http://purl.org/net/ohdsi#1746114"	"http://bio2rdf.org/drugbank:DB00319"
"http://purl.bioontology.org/ontology/RXNORM/6379"	"http://purl.org/net/ohdsi#19124330"	"http://bio2rdf.org/drugbank:DB02239"
"http://purl.bioontology.org/ontology/RXNORM/3418"	"http://purl.org/net/ohdsi#1126557"	"http://bio2rdf.org/drugbank:DB00320"
"http://purl.bioontology.org/ontology/RXNORM/1366667"	"http://purl.org/net/ohdsi#43013169"	"http://bio2rdf.org/drugbank:DB04161"
"http://purl.bioontology.org/ontology/RXNORM/11118"	"http://purl.org/net/ohdsi#19010963"	"http://bio2rdf.org/drugbank:DB00313"
"http://purl.bioontology.org/ontology/RXNORM/290"	"http://purl.org/net/ohdsi#19071966"	"http://bio2rdf.org/drugbank:DB00173"
"http://purl.bioontology.org/ontology/RXNORM/700810"	"http://purl.org/net/ohdsi#709567"	"http://bio2rdf.org/drugbank:DB01255"
"http://purl.bioontology.org/ontology/RXNORM/720825"	"http://purl.org/net/ohdsi#19012925"	"http://bio2rdf.org/drugbank:DB06207"
"http://purl.bioontology.org/ontology/RXNORM/6719"	"http://purl.org/net/ohdsi#701322"	"http://bio2rdf.org/drugbank:DB01043"
"http://purl.bioontology.org/ontology/RXNORM/593411"	"http://purl.org/net/ohdsi#1580747"	"http://bio2rdf.org/drugbank:DB01261"
"http://purl.bioontology.org/ontology/RXNORM/1536070"	"http://purl.org/net/ohdsi#44818494"	"http://bio2rdf.org/drugbank:DB07776"
"http://purl.bioontology.org/ontology/RXNORM/237027"	"http://purl.org/net/ohdsi#992127"	"http://bio2rdf.org/drugbank:DB00873"
"http://purl.bioontology.org/ontology/RXNORM/4496"	"http://purl.org/net/ohdsi#756018"	"http://bio2rdf.org/drugbank:DB00623"
"http://purl.bioontology.org/ontology/RXNORM/1433212"	"http://purl.org/net/ohdsi#43560354"	"http://bio2rdf.org/drugbank:DB08918"
"http://purl.bioontology.org/ontology/RXNORM/3443"	"http://purl.org/net/ohdsi#43084101"	"http://bio2rdf.org/drugbank:DB00343"
"http://purl.bioontology.org/ontology/RXNORM/258494"	"http://purl.org/net/ohdsi#1398399"	"http://bio2rdf.org/drugbank:DB00990"
"http://purl.bioontology.org/ontology/RXNORM/3100"	"http://purl.org/net/ohdsi#43083721"	"http://bio2rdf.org/drugbank:DB00970"
"http://purl.bioontology.org/ontology/RXNORM/7617"	"http://purl.org/net/ohdsi#1522957"	"http://bio2rdf.org/drugbank:DB00104"
"http://purl.bioontology.org/ontology/RXNORM/4440"	"http://purl.org/net/ohdsi#954853"	"http://bio2rdf.org/drugbank:DB01148"
"http://purl.bioontology.org/ontology/RXNORM/89778"	"http://purl.org/net/ohdsi#958368"	"http://bio2rdf.org/drugbank:DB01057"
"http://purl.bioontology.org/ontology/RXNORM/69722"	"http://purl.org/net/ohdsi#1708748"	"http://bio2rdf.org/drugbank:DB00558"
"http://purl.bioontology.org/ontology/RXNORM/33290"	"http://purl.org/net/ohdsi#923540"	"http://bio2rdf.org/drugbank:DB03255"
"http://purl.bioontology.org/ontology/RXNORM/6646"	"http://purl.org/net/ohdsi#794147"	"http://bio2rdf.org/drugbank:DB00934"
"http://purl.bioontology.org/ontology/RXNORM/85762"	"http://purl.org/net/ohdsi#1748921"	"http://bio2rdf.org/drugbank:DB00503"
"http://purl.bioontology.org/ontology/RXNORM/29046"	"http://purl.org/net/ohdsi#1308216"	"http://bio2rdf.org/drugbank:DB00722"
"http://purl.bioontology.org/ontology/RXNORM/7476"	"http://purl.org/net/ohdsi#19020994"	"http://bio2rdf.org/drugbank:DB00325"
"http://purl.bioontology.org/ontology/RXNORM/3339"	"http://purl.org/net/ohdsi#923840"	"http://bio2rdf.org/drugbank:DB00527"
"http://purl.bioontology.org/ontology/RXNORM/6854"	"http://purl.org/net/ohdsi#905223"	"http://bio2rdf.org/drugbank:DB00553"
"http://purl.bioontology.org/ontology/RXNORM/190548"	"http://purl.org/net/ohdsi#1736999"	"http://bio2rdf.org/drugbank:DB00932"
"http://purl.bioontology.org/ontology/RXNORM/10109"	"http://purl.org/net/ohdsi#1836191"	"http://bio2rdf.org/drugbank:DB01082"
"http://purl.bioontology.org/ontology/RXNORM/343048"	"http://purl.org/net/ohdsi#1327256"	"http://bio2rdf.org/drugbank:DB00374"
"http://purl.bioontology.org/ontology/RXNORM/3755"	"http://purl.org/net/ohdsi#1741008"	"http://bio2rdf.org/drugbank:DB00974"
"http://purl.bioontology.org/ontology/RXNORM/10437"	"http://purl.org/net/ohdsi#19137056"	"http://bio2rdf.org/drugbank:DB01412"
"http://purl.bioontology.org/ontology/RXNORM/616739"	"http://purl.org/net/ohdsi#786426"	"http://bio2rdf.org/drugbank:DB05271"
"http://purl.bioontology.org/ontology/RXNORM/8638"	"http://purl.org/net/ohdsi#1550557"	"http://bio2rdf.org/drugbank:DB00860"
"http://purl.bioontology.org/ontology/RXNORM/6398"	"http://purl.org/net/ohdsi#1790692"	"http://bio2rdf.org/drugbank:DB01627"
"http://purl.bioontology.org/ontology/RXNORM/1483262"	"http://purl.org/net/ohdsi#44785064"	"http://bio2rdf.org/drugbank:DB03566"
"http://purl.bioontology.org/ontology/RXNORM/6980"	"http://purl.org/net/ohdsi#1708880"	"http://bio2rdf.org/drugbank:DB01017"
"http://purl.bioontology.org/ontology/RXNORM/2551"	"http://purl.org/net/ohdsi#1797513"	"http://bio2rdf.org/drugbank:DB00537"
"http://purl.bioontology.org/ontology/RXNORM/719872"	"http://purl.org/net/ohdsi#1712889"	"http://bio2rdf.org/drugbank:DB06817"
"http://purl.bioontology.org/ontology/RXNORM/1426451"	"http://purl.org/net/ohdsi#43532433"	"http://bio2rdf.org/drugbank:DB01759"
"http://purl.bioontology.org/ontology/RXNORM/1314303"	"http://purl.org/net/ohdsi#42903792"	"http://bio2rdf.org/drugbank:DB02159"
"http://purl.bioontology.org/ontology/RXNORM/306674"	"http://purl.org/net/ohdsi#1311276"	"http://bio2rdf.org/drugbank:DB00862"
"http://purl.bioontology.org/ontology/RXNORM/20178"	"http://purl.org/net/ohdsi#19025825"	"http://bio2rdf.org/drugbank:DB04519"
"http://purl.bioontology.org/ontology/RXNORM/1116632"	"http://purl.org/net/ohdsi#40241186"	"http://bio2rdf.org/drugbank:DB08816"
"http://purl.bioontology.org/ontology/RXNORM/401713"	"http://purl.org/net/ohdsi#19102150"	"http://bio2rdf.org/drugbank:DB06775"
"http://purl.bioontology.org/ontology/RXNORM/1827"	"http://purl.org/net/ohdsi#733301"	"http://bio2rdf.org/drugbank:DB00490"
"http://purl.bioontology.org/ontology/RXNORM/1362871"	"http://purl.org/net/ohdsi#43012214"	"http://bio2rdf.org/drugbank:DB00141"
"http://purl.bioontology.org/ontology/RXNORM/6756"	"http://purl.org/net/ohdsi#19002664"	"http://bio2rdf.org/drugbank:DB01365"
"http://purl.bioontology.org/ontology/RXNORM/1091836"	"http://purl.org/net/ohdsi#40236897"	"http://bio2rdf.org/drugbank:DB01656"
"http://purl.bioontology.org/ontology/RXNORM/619693"	"http://purl.org/net/ohdsi#40167569"	"http://bio2rdf.org/drugbank:DB06614"
"http://purl.bioontology.org/ontology/RXNORM/6466"	"http://purl.org/net/ohdsi#1391846"	"http://bio2rdf.org/drugbank:DB01206"
"http://purl.bioontology.org/ontology/RXNORM/9143"	"http://purl.org/net/ohdsi#961047"	"http://bio2rdf.org/drugbank:DB00863"
"http://purl.bioontology.org/ontology/RXNORM/10635"	"http://purl.org/net/ohdsi#1502855"	"http://bio2rdf.org/drugbank:DB01124"
"http://purl.bioontology.org/ontology/RXNORM/402316"	"http://purl.org/net/ohdsi#19045272"	"http://bio2rdf.org/drugbank:DB00419"
"http://purl.bioontology.org/ontology/RXNORM/7417"	"http://purl.org/net/ohdsi#1318853"	"http://bio2rdf.org/drugbank:DB01115"
"http://purl.bioontology.org/ontology/RXNORM/1148495"	"http://purl.org/net/ohdsi#40242675"	"http://bio2rdf.org/drugbank:DB08700"
"http://purl.bioontology.org/ontology/RXNORM/5033"	"http://purl.org/net/ohdsi#1366237"	"http://bio2rdf.org/drugbank:DB00629"
"http://purl.bioontology.org/ontology/RXNORM/6984"	"http://purl.org/net/ohdsi#1309068"	"http://bio2rdf.org/drugbank:DB00350"
"http://purl.bioontology.org/ontology/RXNORM/7405"	"http://purl.org/net/ohdsi#19018419"	"http://bio2rdf.org/drugbank:DB02701"
"http://purl.bioontology.org/ontology/RXNORM/7773"	"http://purl.org/net/ohdsi#1724703"	"http://bio2rdf.org/drugbank:DB00713"
"http://purl.bioontology.org/ontology/RXNORM/75207"	"http://purl.org/net/ohdsi#1321636"	"http://bio2rdf.org/drugbank:DB00559"
