DRUG_CONCEPT_ID	SPL_ID	SET_ID	TRADE_NAME	SPL_DATE	SPL_SECTION	CONDITION_CONCEPT_ID	CONDITION_PT	CONDITION_LLT	CONDITION_SOURCE_VALUE	parseMethod	sentenceNum	labdirection	drugfreq	exclude
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	37320143	Eczema	eczema	eczema	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	37320197	Pruritus	itching	itching	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	35809243	Pain	pain	pain	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	37320212	Rash	rash	rash	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	36718382	Skin burning sensation	burning skin	burning skin	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Adverse Reactions	36009711	Hypersensitivity	allergic reaction	allergic reaction	M1	1		0.1	
922802	0938bea4-cb7e-453d-bcb9-62b04d6b45e6	e630aa3d-11a6-4300-942a-cbdf2d016f77	nystatin	10/24/2013	Precautions (beta)	36110552	Infection	infection	infection	M1	4		unk	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36110715	Upper respiratory tract infection	upper respiratory infection	upper respiratory infection	L1	1		5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36718132	Headache	headache	headache	L1	1		5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	35708154	Abdominal pain	abdominal pain	abdominal pain	L1	1		5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	35708100	Constipation	constipation	constipation	L1	1		5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	35708202	Nausea	nausea	nausea	L1	1		5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	35707763	Gastrointestinal disorder	gastrointestinal disorder	gastrointestinal disorders	L1	9		0.5	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36516837	Myalgia	myalgia	myalgia	L1	9		0.1	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36516812	Arthralgia	arthralgia	arthralgia	L1	9		0.1	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36110715	Upper respiratory tract infection	upper respiratory infection	upper respiratory infections	L1	10		9	
1539463	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions	36718132	Headache	headache	headache	L1	10		7.4	
