DRUG_CONCEPT_ID	SPL_ID	SET_ID	TRADE_NAME	SPL_DATE	SPL_SECTION	CONDITION_CONCEPT_ID	CONDITION_LLT	CONDITION_SOURCE_VALUE	parseMethod	sentenceNum	labdirection	drugfreq	CONDITION_PT	exclude
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		incidence	incidence	L1	1		5.0		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		incidence	incidence	L1	10		5		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		cardiovascular system disorder	cardiovascular system disorders	T1L1	15		unk		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		digestive system disorder	digestive system disorders	T1L1	15		unk		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		or psychiatric disorder	nervous system or psychiatric disorders	T1L1	15		unk		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		skin or skin appendage disorder	skin or skin appendage disorders	T1L1	15		unk		
	105e5e20-8501-461e-b9cc-50e05b879157	dc6c3d16-b7ab-46ee-83dc-846445beeee7	simvastatin	10/3/2013	Adverse Reactions		urogenital system disorder	urogenital system disorders	T1L1	15		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		incidence	incidence	L1	7		5		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		greater than in s	greater than in s	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		cardiovascular system disorder	cardiovascular system disorders	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		digestive system disorder	digestive system disorders	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		or psychiatric disorder	nervous system or psychiatric disorders	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		skin or skin appendage disorder	skin or skin appendage disorders	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		urogenital system disorder	urogenital system disorders	T1L1	12		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		adolescent patients	adolescent patients	L1	31		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Adverse Reactions		ages to years	ages to years	L1	31		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		lupus erythematous like syndrome	lupus erythematous like syndrome	L1	40		rare		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		with statin use	associated with statin use	L1	42		rare		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		generally nonserious	are generally nonserious	L1	44		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		reversible upon statin discontinuation	reversible upon statin discontinuation	L1	44		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		day to years	day to years	L1	44		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		symptom resolution	symptom resolution	L1	44		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		median of weeks	median of weeks	L1	44		unk		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		most common adverse reactions	most common adverse reactions	L1	46		5		
	e3818968-d24a-4f44-ad50-4866a06e828b	1c5178c9-270f-4a5b-a52b-68a56972f035	simvastatin	10/22/2013	Post Marketing		incidence	incidence	L1	46		5		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		excel	excel	L1	11		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		study	study	L1	11		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		in the randomized	in the randomized	L1	12		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		parallel	parallel	L1	12		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		week excel study	week excel study	L1	12		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		afcaps or texcaps	afcaps or texcaps	L1	21		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		in afcaps or texcaps	in afcaps or texcaps	L1	22		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		see clinical pharmacology	see clinical pharmacology	L1	22		unk		
	f5babccb-d26e-44a0-843b-7ece78c94cb8	165c9a95-de9b-44fc-a26a-40737a0d6bfd	lovastatin	10/22/2013	Adverse Reactions		clinical studies in adults	clinical studies in adults	L1	22		unk		
