"PreferredSubstance","RxNORM","NUI","NDFRT_LABEL","DRUGBANK_CA","DRUGBANK_BIO2RDF"
"ACEBUTOLOL","http://purl.bioontology.org/ontology/RXNORM/149","http://purl.bioontology.org/ontology/NDFRT/N0000147688","ACEBUTOLOL","http://www.drugbank.ca/drugs/DB01193","http://bio2rdf.org/drugbank:DB01193"
"ACEBUTOLOL","http://purl.bioontology.org/ontology/RXNORM/149","http://purl.bioontology.org/ontology/NDFRT/N0000007333","Acebutolol [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB01193","http://bio2rdf.org/drugbank:DB01193"
"ACETAMINOPHEN","http://purl.bioontology.org/ontology/RXNORM/161","http://purl.bioontology.org/ontology/NDFRT/N0000145898","ACETAMINOPHEN","http://www.drugbank.ca/drugs/DB00316","http://bio2rdf.org/drugbank:DB00316"
"ACETAMINOPHEN","http://purl.bioontology.org/ontology/RXNORM/161","http://purl.bioontology.org/ontology/NDFRT/N0000007359","Acetaminophen [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00316","http://bio2rdf.org/drugbank:DB00316"
"ACETAZOLAMIDE","http://purl.bioontology.org/ontology/RXNORM/167","http://purl.bioontology.org/ontology/NDFRT/N0000146250","ACETAZOLAMIDE","http://www.drugbank.ca/drugs/DB00819","http://bio2rdf.org/drugbank:DB00819"
"ACETAZOLAMIDE","http://purl.bioontology.org/ontology/RXNORM/167","http://purl.bioontology.org/ontology/NDFRT/N0000007364","Acetazolamide [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00819","http://bio2rdf.org/drugbank:DB00819"
"ACETYLCHOLINE","http://purl.bioontology.org/ontology/RXNORM/194","http://purl.bioontology.org/ontology/NDFRT/N0000147690","ACETYLCHOLINE","http://www.drugbank.ca/drugs/DB03128","http://bio2rdf.org/drugbank:DB03128"
"ACETYLCHOLINE","http://purl.bioontology.org/ontology/RXNORM/194","http://purl.bioontology.org/ontology/NDFRT/N0000006306","Acetylcholine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB03128","http://bio2rdf.org/drugbank:DB03128"
"ACETYLCYSTEINE","http://purl.bioontology.org/ontology/RXNORM/197","http://purl.bioontology.org/ontology/NDFRT/N0000147113","ACETYLCYSTEINE","http://www.drugbank.ca/drugs/DB06151","http://bio2rdf.org/drugbank:DB06151"
"ACETYLCYSTEINE","http://purl.bioontology.org/ontology/RXNORM/197","http://purl.bioontology.org/ontology/NDFRT/N0000006327","Acetylcysteine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB06151","http://bio2rdf.org/drugbank:DB06151"
"ACYCLOVIR","http://purl.bioontology.org/ontology/RXNORM/281","http://purl.bioontology.org/ontology/NDFRT/N0000147084","ACYCLOVIR","http://www.drugbank.ca/drugs/DB00787","http://bio2rdf.org/drugbank:DB00787"
"ACYCLOVIR","http://purl.bioontology.org/ontology/RXNORM/281","http://purl.bioontology.org/ontology/NDFRT/N0000007269","Acyclovir [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00787","http://bio2rdf.org/drugbank:DB00787"
"ADENINE","http://purl.bioontology.org/ontology/RXNORM/290","http://purl.bioontology.org/ontology/NDFRT/N0000147177","ADENINE","http://www.drugbank.ca/drugs/DB00173","http://bio2rdf.org/drugbank:DB00173"
"ADENINE","http://purl.bioontology.org/ontology/RXNORM/290","http://purl.bioontology.org/ontology/NDFRT/N0000007309","Adenine [Chemical/Ingredient]","http://www.drugbank.ca/drugs/DB00173","http://bio2rdf.org/drugbank:DB00173"
