drug_concept_id	HOI_concept_id	NCT_ID	INTERVENTION_NAME
19092845	0	NCT00281957	temsirolimus
40236987	0	NCT00583557	belimumab
1344905	0	NCT00010257	carboplatin
1378382	0	NCT00010257	paclitaxel
1304919	0	NCT00475657	pemetrexed
1397599	0	NCT00475657	cisplatin
1397599	0	NCT00033657	cisplatin
1378382	0	NCT00033657	paclitaxel
40230597	0	NCT00423657	ceftaroline
1337651	0	NCT01342757	vorinostat
1341149	0	NCT01342757	temozolomide
1786617	0	NCT00638157	daptomycin
1344905	0	NCT00049257	carboplatin
1378382	0	NCT00049257	paclitaxel
1314865	0	NCT01121757	azacitidine
19026972	0	NCT01121757	lenalidomide
1786617	0	NCT00882557	daptomycin
750982	0	NCT00125957	bupropion
715259	0	NCT00666757	duloxetine
755695	0	NCT00666757	fluoxetine
797617	0	NCT00666757	citalopram
722031	0	NCT00666757	paroxetine
739138	0	NCT00666757	sertraline
1325363	0	NCT01189435	erlotinib
1583722	0	NCT00701935	exenatide
1707687	0	NCT01819935	vancomycin
1703653	0	NCT00798135	itraconazole
732893	0	NCT01472835	bupivacaine
1315946	0	NCT00291135	letrozole
19045045	0	NCT00742235	ergocalciferol
1366310	0	NCT00004635	goserelin
19011355	0	NCT00945035	etoricoxib
1359548	0	NCT00444535	lapatinib
1397141	0	NCT00444535	bevacizumab
1325363	0	NCT00841035	erlotinib
1503297	0	NCT00789035	metformin
913782	0	NCT00323635	tolterodine
1358436	0	NCT00423735	dasatinib
1738135	0	NCT00414635	efavirenz
19011093	0	NCT00414635	tenofovir
1703069	0	NCT00414635	emtricitabine
1322184	0	NCT00356135	clopidogrel
1314865	0	NCT00381693	azacitidine
19054821	0	NCT00775593	clofarabine
19092845	0	NCT00775593	temsirolimus
955632	0	NCT00423293	fluorouracil
1310317	0	NCT00048893	cyclophosphamide
1378382	0	NCT00048893	paclitaxel
1304850	0	NCT00048893	filgrastim
1308432	0	NCT00048893	sargramostim
1336825	0	NCT00416793	bortezomib
1344905	0	NCT00416793	carboplatin
19027958	0	NCT00691093	fesoterodine
1336926	0	NCT00836693	tadalafil
715939	0	NCT00754793	escitalopram
1350489	0	NCT00532493	prazosin
19092845	0	NCT00429793	temsirolimus
1125315	0	NCT00743093	acetaminophen
19012585	0	NCT00372593	asparaginase
1311078	0	NCT00372593	cytarabine
1350504	0	NCT00372593	etoposide
42799711	0	NCT00372593	gemtuzumab ozogamicin
1310317	0	NCT00061893	cyclophosphamide
1118084	0	NCT00061893	celecoxib
1350504	0	NCT00061893	etoposide
19078187	0	NCT00061893	ifosfamide
45892419	0	NCT01148693	gentamicin
45776202	0	NCT00967993	ferric citrate
755695	0	NCT00849693	fluoxetine
715259	0	NCT00849693	duloxetine
735843	0	NCT00516893	natalizumab
1712889	0	NCT00884793	raltegravir
1314924	0	NCT02004093	gemcitabine
1344905	0	NCT02004093	carboplatin
42801287	0	NCT02004093	pertuzumab
1378382	0	NCT02004093	paclitaxel
1711947	0	NCT00658411	deferoxamine
1311078	0	NCT01238211	cytarabine
1358436	0	NCT01238211	dasatinib
766814	0	NCT01244711	quetiapine
1310317	0	NCT00482911	cyclophosphamide
19026972	0	NCT00482911	lenalidomide
1321636	0	NCT00319111	bosentan
1304850	0	NCT00245011	filgrastim
19078187	0	NCT00245011	ifosfamide
1359548	0	NCT00320411	lapatinib
1397599	0	NCT00006011	cisplatin
1378382	0	NCT00006011	paclitaxel
1325608	0	NCT00006011	pegfilgrastim
1304850	0	NCT00006011	filgrastim
1315411	0	NCT00326911	cetuximab
1397141	0	NCT00326911	bevacizumab
1314924	0	NCT00326911	gemcitabine
712615	0	NCT00458211	ziprasidone
1363387	0	NCT00779311	sorafenib
1397141	0	NCT00779311	bevacizumab
1310317	0	NCT00610311	cyclophosphamide
1378382	0	NCT00976911	paclitaxel
1378509	0	NCT00976911	topotecan
1311078	0	NCT00057811	cytarabine
1350504	0	NCT00057811	etoposide
1304565	0	NCT00057811	rasburicase
1506270	0	NCT00057811	methylprednisolone
1551099	0	NCT00057811	prednisone
1310317	0	NCT00057811	cyclophosphamide
1305058	0	NCT00057811	methotrexate
1304850	0	NCT00057811	filgrastim
1314273	0	NCT00057811	rituximab
1503297	0	NCT00420511	metformin
1716903	0	NCT00398411	moxifloxacin
19080982	0	NCT01122511	ranibizumab
750982	0	NCT00086411	bupropion
1518254	0	NCT00775411	dexamethasone
19080982	0	NCT00775411	ranibizumab
950637	0	NCT00311311	tacrolimus
19003999	0	NCT00311311	mycophenolate mofetil
1551099	0	NCT00311311	prednisone
19034726	0	NCT00311311	sirolimus
929887	0	NCT00215787	lansoprazole
1397141	0	NCT00466687	bevacizumab
1304643	0	NCT00925587	darbepoetin alfa
1118084	0	NCT00402987	celecoxib
759740	0	NCT00535587	pyridostigmine
43014237	0	NCT01311687	pomalidomide
1518254	0	NCT01311687	dexamethasone
734354	0	NCT00954187	pregabalin
1350066	0	NCT00233987	carmustine
1310317	0	NCT00233987	cyclophosphamide
1350504	0	NCT00233987	etoposide
1301267	0	NCT00233987	melphalan
800878	0	NCT00573287	clozapine
735979	0	NCT00573287	risperidone
44814585	0	NCT00673387	metreleptin
43533090	0	NCT01523587	afatinib
1325363	0	NCT01523587	erlotinib
1106776	0	NCT01294787	tiotropium
1367500	0	NCT00675987	losartan
1315942	0	NCT00683787	docetaxel
40238052	0	NCT00683787	vandetanib
955632	0	NCT00098787	fluorouracil
1397141	0	NCT00098787	bevacizumab
1358436	0	NCT00123487	dasatinib
1359548	0	NCT00272987	lapatinib
1378382	0	NCT00272987	paclitaxel
1387104	0	NCT00272987	trastuzumab
19087394	0	NCT01110187	lacosamide
1314865	0	NCT00102687	azacitidine
19049038	0	NCT00816556	estriol
1548195	0	NCT00816556	estradiol
1317967	0	NCT00923156	aliskiren
1334456	0	NCT00923156	ramipril
1344905	0	NCT00093756	carboplatin
1336825	0	NCT00093756	bortezomib
1378382	0	NCT00093756	paclitaxel
19058410	0	NCT00819156	degarelix
1310149	0	NCT00504556	warfarin
1397141	0	NCT00434356	bevacizumab
1336539	0	NCT00434356	sunitinib
1378382	0	NCT00434356	paclitaxel
1378382	0	NCT00373256	paclitaxel
1397141	0	NCT00373256	bevacizumab
1154077	0	NCT00894556	rizatriptan
1738135	0	NCT01254656	efavirenz
1758536	0	NCT01254656	etravirine
19026972	0	NCT00717756	lenalidomide
744798	0	NCT01127256	zonisamide
740275	0	NCT01127256	carbamazepine
950637	0	NCT00282256	tacrolimus
19026972	0	NCT00065156	lenalidomide
1314577	0	NCT00992056	nebivolol
19011440	0	NCT00426556	everolimus
1436650	0	NCT00492856	mercaptopurine
1305058	0	NCT00492856	methotrexate
