Actraphane|INSULIN HUMAN|1008501|C047279
Advate|OCTOCOG ALFA|669348|
Aflunov|A/VIETNAM/1194/2004 (H5N1)||
Ambirix|HEPATITIS A (INACTIVATED) AND HEPATITIS B (RDNA) VACCINE (ADSORBED)|1008750|
Ameluz|AMINOLEVULINIC ACID|683|D000622
Atryn|ANTITHROMBIN ALFA|834852|
BeneFIX|NONACOG ALFA|669370|
Beromun|TASONERMIN|283746|
Biopoin|EPOETIN THETA|105695|C555712
Bridion|SUGAMMADEX||C453980
Brinavess|VERNAKALANT HYDROCHLORIDE||C524581
CellCept|MYCOPHENOLIC ACID|C063008
Celvapan|A/CALIFORNIA/7/2009 (H1N1)V-LIKE VIRUS|864701|
Cervarix|HUMAN PAPILLOMAVIRUS VACCINE|661026|C510352
ChondroCelect|AUTOLOGOUS HUMAN CARTILAGE CELLS|1000590|
Cimzia|CERTOLIZUMAB|795082|C468008
Cinryze|COMPLEMENT C1 ESTERASE INHIBITOR|809868|C469952
Colobreathe|COLISTIMETHATE|2708|C004691
Cubicin|DAPTOMYCIN|404965|D017576
Cystagon|MERCAPTAMINE|227215|D003543
Daronrix|A/VIETNAM/1194/2004 (H5N1)||
DaTSCAN|IOFLUPANE (123I)|1426874|C519528
Dificlir|FIDAXOMICIN|1111103|C010211
Elonva|CORIFOLLITROPIN ALFA
Eporatio|EPOETIN THETA
Fablyn|LASOFOXIFENE
Fampyra|FAMPRIDINE
Fendrix|HEPATITIS B VACCINE (RDNA)
Firdapse|AMIFAMPRIDINE
Flebogamma DIF|HUMAN NORMAL IMMUNOGLOBULIN
Focetria|A/CALIFORNIA/7/2009 (H1N1)V-LIKE VIRUS
Foclivia|A/VIETNAM/1194/2004 (H5N1)
Gardasil|HUMAN PAPILLOMAVIRUS VACCINE
Gliolan|AMINOLEVULINIC ACID
HBVaxPro|HEPATITIS B VACCINE (RDNA)
Helicobacter Test INFAI|13C-UREA
Helixate NexGen|OCTOCOG ALFA
Hizentra|HUMAN NORMAL IMMUNOGLOBULIN
InductOs|DIBOTERMIN ALFA
INOmax|NITRIC OXIDE
Insulatard|INSULIN HUMAN
Ivemend|FOSAPREPITANT
Ixiaro|JAPANESE ENCEPHALITIS VIRUS (INACTIVATED)
Kiovig|HUMAN NORMAL IMMUNOGLOBULIN
Kogenate Bayer|OCTOCOG ALFA
LeukoScan|SULESOMAB
Methylthioninium chloride Proveblue|METHYLTHIONINIUM
Mircera|METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA
Mixtard|INSULIN HUMAN
Myclausen|MYCOPHENOLIC ACID
NeoRecormon|EPOETIN BETA
NeuroBloc|BOTULINUM B TOXIN
Nonafact|HUMAN COAGULATION FACTOR IX
NovoSeven|EPTACOG ALFA
Opgenra|EPTOTERMIN ALFA
Optaflu|INFLUENZA VACCINE SURFACE ANTIGEN INACTIVATED PREPARED IN CELL CULTURES
Osigraft|EPTOTERMIN ALFA
Osseor|STRONTIUM RANELATE
Pandemic influenza vaccine H5N1 Baxter|A/VIETNAM/1203/2004 (H5N1)
Pandemrix|A/CALIFORNIA/7/2009 (H1N1)V-LIKE VIRUS
Preotact|PARATHYROID HORMONE
Prepandemic influenza vaccine (H5N1) Novartis Vaccines and Diagnostics|A/VIETNAM/1194/2004 (H5N1)
Prepandrix|A/INDONESIA/05/2005 (H5N1) (PR8-IBCDC-RG2)
Prevenar|PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (ADSORBED)
Privigen|HUMAN NORMAL IMMUNOGLOBULIN
Protaphane|INSULIN HUMAN
Protelos|STRONTIUM RANELATE
Pylobactell|13C-UREA
Quadramet|SAMARIUM (153SM) LEXIDRONAM
Qutenza|CAPSAICIN
ReFacto AF|MOROCTOCOG ALFA
Removab|CATUMAXOMAB
Replagal|AGALSIDASE ALFA
Retacrit|EPOETIN ZETA
Rienso|FERUMOXYTOL
Ruconest|CONESTAT ALFA
Scintimun|BESILESOMAB
Siklos|HYDROXYCARBAMIDE
Silapo|EPOETIN ZETA
Silgard|HUMAN PAPILLOMAVIRUS VACCINE
SonoVue|SULFUR HEXAFLUORIDE
Synflorix|PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (ADSORBED)
Thymanax|AGOMELATINE
TOBI Podhaler|TOBRAMYCIN
Trisenox|ARSENIC
Trobalt|RETIGABINE
Twinrix Adult|HEPATITIS A (INACTIVATED) AND HEPATITIS B (RDNA) VACCINE (ADSORBED)
Valdoxan|AGOMELATINE
Vedrop|TOCOFERSOLAN
Vepacel|PRE/PANDEMIC INFLUENZA VACCINE (H5N1)
Vyndaqel|TAFAMIDIS
Ytracis|YTTRIUM (90Y)
Zevalin|IBRITUMOMAB TIUXETAN
Zostavax|VARICELLA VACCINE (LIVE)
Zutectra|HUMAN HEPATITIS B IMMUNOGLOBULIN
