source_code|source_vocabulary_id|source_code_description|target_concept_id|target_vocabulary_id|mapping_type|primary_map|valid_start_date|valid_end_date|invalid_reason
C482292|46|darunavir|1756831|8|DRUG|Y|1970-01-01|2099-12-31|
C488369|46|dasatinib|1358436|8|DRUG|Y|1970-01-01|2099-12-31|
D000198|46|Spectinomycin|1701651|8|DRUG|Y|1970-01-01|2099-12-31|
D000431|46|Ethanol|955372|8|DRUG|Y|1970-01-01|2099-12-31|
D000481|46|Allantoin|966376|8|DRUG|Y|1970-01-01|2099-12-31|
D000622|46|Aminolevulinic Acid|904351|8|DRUG|Y|1970-01-01|2099-12-31|
D000638|46|Amiodarone|1309944|8|DRUG|Y|1970-01-01|2099-12-31|
D014343|46|Trypan Blue|19006155|8|DRUG|Y|1970-01-01|2099-12-31|
D014364|46|Tryptophan|19006186|8|DRUG|Y|1970-01-01|2099-12-31|
D014449|46|Tyrothricin|19006842|8|DRUG|Y|1970-01-01|2099-12-31|
D014740|46|Vidarabine|908126|8|DRUG|Y|1970-01-01|2099-12-31|
D015003|46|Yeasts|19011008|8|DRUG|Y|1970-01-01|2099-12-31|
D001545|46|Benserazide|19016463|8|DRUG|Y|1970-01-01|2099-12-31|
D001589|46|Benzphetamine|719128|8|DRUG|Y|1970-01-01|2099-12-31|
D001627|46|Bethanidine|19022533|8|DRUG|Y|1970-01-01|2099-12-31|
D001728|46|Dicumarol|1325124|8|DRUG|Y|1970-01-01|2099-12-31|
D001761|46|Bleomycin|1329241|8|DRUG|Y|1970-01-01|2099-12-31|
D001971|46|Bromocriptine|730548|8|DRUG|Y|1970-01-01|2099-12-31|
D002046|46|Bupranolol|19018489|8|DRUG|Y|1970-01-01|2099-12-31|
D002077|46|Butorphanol|1133732|8|DRUG|Y|1970-01-01|2099-12-31|
D002126|46|Calcium Hydroxide|1337191|8|DRUG|Y|1970-01-01|2099-12-31|
D002159|46|Cambendazole|19018638|8|DRUG|Y|1970-01-01|2099-12-31|
D002176|46|Candida albicans|538530|8|DRUG|Y|1970-01-01|2099-12-31|
D002229|46|Carbenoxolone|19040563|8|DRUG|Y|1970-01-01|2099-12-31|
D002271|46|Carbutamide|19033498|8|DRUG|Y|1970-01-01|2099-12-31|
D002330|46|Carmustine|1350066|8|DRUG|Y|1970-01-01|2099-12-31|
D002480|46|Cellulase|986515|8|DRUG|Y|1970-01-01|2099-12-31|
D002504|46|Meclofenoxate|19052682|8|DRUG|Y|1970-01-01|2099-12-31|
D002518|46|Ceramides|19052687|8|DRUG|Y|1970-01-01|2099-12-31|
D002606|46|Charcoal|1789521|8|DRUG|Y|1970-01-01|2099-12-31|
D002719|46|Chlormethiazole|19092283|8|DRUG|Y|1970-01-01|2099-12-31|
D002738|46|Chloroquine|1792515|8|DRUG|Y|1970-01-01|2099-12-31|
D002744|46|Chlorpheniramine|1192710|8|DRUG|Y|1970-01-01|2099-12-31|
D002794|46|Choline|1195334|8|DRUG|Y|1970-01-01|2099-12-31|
