source_code|source_code_description|concept_code|concept_name|concept_id
C482292|darunavir|460132|darunavir|1756831
C488369|dasatinib|475342|dasatinib|1358436
D000198|Spectinomycin|270|Spectinomycin|1701651
D000431|Ethanol|448|Ethanol|955372
D000481|Allantoin|508|Allantoin|966376
D000622|Aminolevulinic Acid|683|Aminolevulinic Acid|904351
D000638|Amiodarone|703|Amiodarone|1309944
D014343|Trypan Blue|10878|Trypan Blue|19006155
D014364|Tryptophan|10898|Tryptophan|19006186
D014449|Tyrothricin|10968|Tyrothricin|19006842
D014740|Vidarabine|11194|Vidarabine|908126
D015003|Yeasts|11384|Yeasts|19011008
D001545|Benserazide|1374|Benserazide|19016463
D001589|Benzphetamine|1422|Benzphetamine|719128
D001627|Bethanidine|1523|Bethanidine|19022533
D001728|Dicumarol|1598|Dicumarol|1325124
D001761|Bleomycin|1622|Bleomycin|1329241
D001971|Bromocriptine|1760|Bromocriptine|730548
D002046|Bupranolol|1817|Bupranolol|19018489
D002077|Butorphanol|1841|Butorphanol|1133732
D002126|Calcium Hydroxide|1910|Calcium Hydroxide|1337191
D002159|Cambendazole|1951|Cambendazole|19018638
D002176|Candida albicans|1963|Candida albicans|538530
D002229|Carbenoxolone|2017|Carbenoxolone|19040563
D002271|Carbutamide|2068|Carbutamide|19033498
D002330|Carmustine|2105|Carmustine|1350066
D002480|Cellulase|2219|CELLULASE|986515
D002504|Meclofenoxate|2228|Meclofenoxate|19052682
D002518|Ceramides|2243|Ceramides|19052687
D002606|Charcoal|2296|Charcoal|1789521
D002719|Chlormethiazole|2372|Chlormethiazole|19092283
D002738|Chloroquine|2393|Chloroquine|1792515
D002744|Chlorpheniramine|2400|Chlorpheniramine|1192710
D002794|Choline|2449|Choline|1195334
D002974|Clemastine|2578|Clemastine|1197677
D003009|Chlorazepate|2353|Chlorazepate|790253
D003022|Clotrimazole|2623|Clotrimazole|1000632
D003033|Coal Tar|2635|Coal Tar|1000995
D002710|Chlorhexidine|2358|Chlorhexidine|1790812
D002720|Chlormezanone|2373|Chlormezanone|19092290
D002740|Chlorothiazide|2396|Chlorothiazide|992590
D002750|Chlorquinaldol|2407|Chlorquinaldol|19095028
D002955|Leucovorin|6313|Leucovorin|1388796
D002990|Clobetasol|2590|Clobetasol|998415
D003002|Clonixin|2601|Clonixin|19099129
D003314|Corn Oil|2854|Corn Oil|19007533
D003495|Cyclandelate|2970|Cyclandelate|1309323
D003518|Cyclopenthiazide|3000|Cyclopenthiazide|19010015
D003523|Cycloserine|3007|Cycloserine|1710446
D003561|Cytarabine|3041|Cytarabine|1311078
D003613|Danazol|3102|Danazol|1511449
D003708|Nordazepam|3155|Nordazepam|19080959
D003840|Deoxycholate|42627|Deoxycholate|19052896
D003850|Streptodornase|10104|Streptodornase|19136184
D003891|Desipramine|3247|Desipramine|716968
D003909|Dexetimide|3267|Dexetimide|19082894
D003982|Dibekacin|3328|Dibekacin|19023508
D004028|Dienestrol|3368|Dienestrol|925102
D004053|Diethylpropion|3389|Diethylpropion|725822
D004087|Dihydroergotamine|3418|Dihydroergotamine|1126557
D004281|Docosahexaenoate|73|Docosahexaenoate|19016670
D004656|Enalapril|3827|Enalapril|1341927
D004874|Ergonovine|4021|Ergonovine|1345205
D004878|Ergotamine|4025|Ergotamine|1145379
D005045|Etomidate|4177|Etomidate|19050488
D005439|Flufenamic Acid|4453|Flufenamic Acid|19110711
D005469|Fluorometholone|4491|Fluorometholone|955583
D005473|Fluoxetine|4493|Fluoxetine|755695
D005492|Folate|62356|Folate|1387426
D001960|Bromazepam|1749|Bromazepam|19030353
D001964|Bromhexine|1753|Bromhexine|19030493
D002064|Buserelin|1825|Buserelin|19033280
C006088|bornaprine|19610|bornaprine|19018661
C006154|nadoxolol|31462|nadoxolol|19080436
C006656|azatadine|18600|azatadine|1133993
C006683|bamifylline|18752|bamifylline|19018518
C006955|cetiedil|20609|cetiedil|19031267
C007005|carprofen|20343|carprofen|19046454
C010679|anisindione|17941|anisindione|1332661
C010725|fenbufen|24830|fenbufen|19095703
C011001|isoaminile|27866|isoaminile|19003416
C011369|calcium threonate|273888|calcium threonate|1302788
C011685|bitolterol|19499|bitolterol|1138050
C011731|cloprednol|21285|cloprednol|19050907
C011911|mesulfen|29584|mesulfen|19072051
C011941|nabilone|31447|nabilone|913440
D015215|Zidovudine|11413|Zidovudine|1710612
D015311|Cefmetazole|2182|Cefmetazole|19072255
D015365|Enoxacin|3925|Enoxacin|1743222
D015377|Cilastatin|2540|Cilastatin|1797258
D015381|Interferon Alfa-2b|5880|Interferon Alfa-2b|1380068
C003316|sobrerol|36669|sobrerol|19039512
C003321|polystyrene sulfonic acid, homopolymer, calcium salt|47630|Calcium polystyrene sulfonate product|19112563
C003722|tritoqualine|38810|tritoqualine|19101651
C004568|tiadenol|38248|tiadenol|19100753
C004639|cyclothiazide|22033|cyclothiazide|19082886
C004651|dipropylacetamide|23420|dipropylacetamide|19054995
C004686|clocortolone|21249|clocortolone|950882
C005200|sodium metabisulfite|36696|sodium metabisulfite|19039874
