Bridion|SUGAMMADEX
Brinavess|VERNAKALANT HYDROCHLORIDE
CellCept|MYCOPHENOLIC ACID
Corlentor|IVABRADINE
Diacomit|STIRIPENTOL
Elonva|CORIFOLLITROPIN ALFA
Esbriet|PIRFENIDONE
Fablyn|LASOFOXIFENE
Fampyra|FAMPRIDINE
Javlor|VINFLUNINE
LeukoScan|SULESOMAB
Pixuvri|PIXANTRONE
Procoralan|IVABRADINE
Removab|CATUMAXOMAB
Resolor|PRUCALOPRIDE
Ruconest|CONESTAT ALFA
Scintimun|BESILESOMAB
Thymanax|AGOMELATINE
Trobalt|RETIGABINE
Valdoxan|AGOMELATINE
Vyndaqel|TAFAMIDIS
Yondelis|TRABECTEDIN
Zutectra|HUMAN HEPATITIS B IMMUNOGLOBULIN
