16123992	Antineoplastic Combined Chemotherapy Protocols	D000971	Demyelinating Diseases	D003711	16123992	Case Reports	D002363
16123992	Antineoplastic Combined Chemotherapy Protocols	D000971	Brain Edema	D001929	16123992	Case Reports	D002363
16786587	Methotrexate	D008727	Acute Kidney Injury	D058186	16786587	Case Reports	D002363
16786587	Oxazolidinones	D023303	Acute Kidney Injury	D058186	16786587	Case Reports	D002363
16786587	Serotonin Receptor Agonists	D017366	Acute Kidney Injury	D058186	16786587	Case Reports	D002363
16786587	Tryptamines	D014363	Acute Kidney Injury	D058186	16786587	Case Reports	D002363
17564017	Anthracyclines	D018943	Cardiomyopathies	D009202	17564017	Clinical Trial	D016430
17564017	Antibiotics, Antineoplastic	D000903	Cardiomyopathies	D009202	17564017	Clinical Trial	D016430
17393483	Abortifacient Agents, Nonsteroidal	D000020	Retinal Diseases	D012164	17393483	Case Reports	D002363
17393483	Abortifacient Agents, Nonsteroidal	D000020	Poland Syndrome	D011045	17393483	Case Reports	D002363
17393483	Misoprostol	D016595	Retinal Diseases	D012164	17393483	Case Reports	D002363
17393483	Misoprostol	D016595	Poland Syndrome	D011045	17393483	Case Reports	D002363
17565034	Antineoplastic Combined Chemotherapy Protocols	D000971	Pneumonia	D011014	17565034	Case Reports	D002363
17565034	Antineoplastic Combined Chemotherapy Protocols	D000971	Bronchiolitis Obliterans	D001989	17565034	Case Reports	D002363
17565034	Deoxycytidine	D003841	Pneumonia	D011014	17565034	Case Reports	D002363
17565034	Deoxycytidine	D003841	Bronchiolitis Obliterans	D001989	17565034	Case Reports	D002363
17565276	Contrast Media	D003287	Acute Kidney Injury	D058186	17565276	Meta-Analysis	D017418
17565263	Antineoplastic Combined Chemotherapy Protocols	D000971	Liver Failure	D017093	17565263	Case Reports	D002363
17565263	Fluorouracil	D005472	Liver Failure	D017093	17565263	Case Reports	D002363
17565263	Leucovorin	D002955	Liver Failure	D017093	17565263	Case Reports	D002363
17565263	Organoplatinum Compounds	D009944	Liver Failure	D017093	17565263	Case Reports	D002363
17565539	Antineoplastic Agents	D000970	Charcot-Marie-Tooth Disease	D002607	17565539	Case Reports	D002363
17565539	Cisplatin	D002945	Charcot-Marie-Tooth Disease	D002607	17565539	Case Reports	D002363
17565539	Vincristine	D014750	Charcot-Marie-Tooth Disease	D002607	17565539	Case Reports	D002363
17565540	Antibodies, Monoclonal	D000911	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17565540	Antineoplastic Combined Chemotherapy Protocols	D000971	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17565540	Cyclophosphamide	D003520	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17565540	Doxorubicin	D004317	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17565540	Prednisone	D011241	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17565540	Vincristine	D014750	Guillain-Barre Syndrome	D020275	17565540	Case Reports	D002363
17564783	Immunosuppressive Agents	D007166	Nocturnal Myoclonus Syndrome	D020189	17564783	Case Reports	D002363
17564783	Macrolides	D018942	Nocturnal Myoclonus Syndrome	D020189	17564783	Case Reports	D002363
17564783	Tacrolimus	D016559	Nocturnal Myoclonus Syndrome	D020189	17564783	Case Reports	D002363
17564786	Immunosuppressive Agents	D007166	Pneumonia	D011014	17564786	Case Reports	D002363
17564786	Methotrexate	D008727	Pneumonia	D011014	17564786	Case Reports	D002363
17564576	Antiviral Agents	D000998	Leukopenia	D007970	17564576	Case Reports	D002363
17564576	Ganciclovir	D015774	Leukopenia	D007970	17564576	Case Reports	D002363
17564576	Immunosuppressive Agents	D007166	Leukopenia	D007970	17564576	Case Reports	D002363
17564576	Mycophenolic Acid	D009173	Leukopenia	D007970	17564576	Case Reports	D002363
17564651	Analgesics, Opioid	D000701	Sleep Apnea Syndromes	D012891	17564651	Case Reports	D002363
17564651	Codeine	D003061	Sleep Apnea Syndromes	D012891	17564651	Case Reports	D002363
17476497	Contrast Media	D003287	Prenatal Exposure Delayed Effects	D011297	17476497	Case Reports	D002363
17476497	Contrast Media	D003287	Intestinal Diseases	D007410	17476497	Case Reports	D002363
17476497	Triiodobenzoic Acids	D014283	Prenatal Exposure Delayed Effects	D011297	17476497	Case Reports	D002363
17476497	Triiodobenzoic Acids	D014283	Intestinal Diseases	D007410	17476497	Case Reports	D002363
17564928	Antineoplastic Agents, Hormonal	D018931	Macular Edema	D008269	17564928	Case Reports	D002363
17564928	Tamoxifen	D013629	Macular Edema	D008269	17564928	Case Reports	D002363
17565329	Antibiotics, Antineoplastic	D000903	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	17565329	Case Reports	D002363
17565329	Doxorubicin	D004317	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	17565329	Case Reports	D002363
17565329	Liver Transplantation	D016031	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	D015464	17565329	Case Reports	D002363
17566208	Antibiotics, Antineoplastic	D000903	Brain Edema	D001929	17566208	Case Reports	D002363
17566208	Bleomycin	D001761	Brain Edema	D001929	17566208	Case Reports	D002363
17465969	Coloring Agents	D004396	Hypertension	D006973	17465969	Case Reports	D002363
17465969	Coloring Agents	D004396	Brain Ischemia	D002545	17465969	Case Reports	D002363
17465969	Indigo Carmine	D007203	Hypertension	D006973	17465969	Case Reports	D002363
17465969	Indigo Carmine	D007203	Brain Ischemia	D002545	17465969	Case Reports	D002363
17567406	Antidepressive Agents, Tricyclic	D000929	Bipolar Disorder	D001714	17567406	Case Reports	D002363
17567406	Dothiepin	D004308	Bipolar Disorder	D001714	17567406	Case Reports	D002363
17266059	Trimethoprim-Sulfamethoxazole Combination	D015662	Purpura, Thrombotic Thrombocytopenic	D011697	17266059	Case Reports	D002363
17567353	Anti-Inflammatory Agents, Non-Steroidal	D000894	Methemoglobinemia	D008708	17567353	Case Reports	D002363
17567353	Anti-Inflammatory Agents, Non-Steroidal	D000894	Hypoxia, Brain	D002534	17567353	Case Reports	D002363
17567353	Dapsone	D003622	Methemoglobinemia	D008708	17567353	Case Reports	D002363
17567353	Dapsone	D003622	Hypoxia, Brain	D002534	17567353	Case Reports	D002363
16552522	Amitriptyline	D000639	Colitis, Ischemic	D017091	16552522	Case Reports	D002363
16552522	Antidepressive Agents, Tricyclic	D000929	Colitis, Ischemic	D017091	16552522	Case Reports	D002363
16788819	Sclerotherapy	D015911	Rectal Diseases	D012002	16788819	Case Reports	D002363
16788819	Sclerotherapy	D015911	Anus Diseases	D001004	16788819	Case Reports	D002363
17567316	Fluorouracil	D005472	Skin Neoplasms	D012878	17567316	Case Reports	D002363
17567316	Fluorouracil	D005472	Nevus, Pigmented	D009508	17567316	Case Reports	D002363
17568512	Omeprazole	D009853	Anaphylaxis	D000707	17568512	Case Reports	D002363
17421021	Colchicine	D003078	Neuromuscular Diseases	D009468	17421021	Case Reports	D002363
17421021	Tubulin Modulators	D050257	Neuromuscular Diseases	D009468	17421021	Case Reports	D002363
17517853	Hypoglycemic Agents	D007004	Myocardial Infarction	D009203	17517853	Meta-Analysis	D017418
