drug|substance
Aldurazyme|LARONIDASE
Ammonaps|SODIUM PHENYLBUTYRATE
Avonex|INTERFERON BETA-1A
Caprelsa|VANDETANIB
Enbrel|ETANERCEPT
Firmagon|DEGARELIX
Increlex|MECASERMIN
Invega|PALIPERIDONE
Kepivance|PALIFERMIN
Keppra|LEVETIRACETAM
Kineret|ANAKINRA
Kuvan|SAPROPTERIN
Lantus|INSULIN GLARGINE
Leganto|ROTIGOTINE
Levetiracetam Accord|LEVETIRACETAM
Luveris|LUTROPIN ALFA
Matever|LEVETIRACETAM
Mozobil|PLERIXAFOR
Myozyme|ALGLUCOSIDASE ALFA
Neupro|ROTIGOTINE
Nulojix|BELATACEPT
NutropinAq|SOMATROPIN
Omnitrope|SOMATROPIN
Optisulin|INSULIN GLARGINE
Ovitrelle|CHORIOGONADOTROPIN ALFA
Rebif|INTERFERON BETA-1A
Regranex|BECAPLERMIN
Relistor|METHYLNALTREXONE BROMIDE
Tasigna|NILOTINIB
Victrelis|BOCEPREVIR
Vpriv|VELAGLUCERASE ALFA
Xaluprine|MERCAPTOPURINE
Xeplion|PALIPERIDONE
Xiapex|COLLAGENASE
Zelboraf|VEMURAFENIB
