Report	Matched Term	Code	Name	Semantic Type	Annotations	Acronym	Negated
0	Total	C0522532	Total (all fractions of)	Quantitative Concept	Total/1		
0	events	C0441471	{Event}	Event	events/24		
0	Total	C0439810	Total	Qualitative Concept	Total/1		
0	Total	C0439175	% of total	Quantitative Concept	Total/1		
0	serious	C0205404	Serious	Qualitative Concept	serious/8		
1	hemorrhagic stroke	C0553692	Hemorrhage brain	Pathologic Function	hemorrhagic/1, stroke/13		
10	Psychiatric	C0242539	Psychiatric Wills	Intellectual Product	Psychiatric/1		
10	Psychiatric	C0205487	Psychiatric	Functional Concept	Psychiatric/1		
10	hallucinations	C0018524	Hallucination	Mental or Behavioral Dysfunction	hallucinations/14		
11	Total	C0522532	Total (all fractions of)	Quantitative Concept	Total/1		
11	events	C0441471	{Event}	Event	events/22		
11	Total	C0439810	Total	Qualitative Concept	Total/1		
11	Total	C0439175	% of total	Quantitative Concept	Total/1		
11	other	C0205394	Other	Qualitative Concept	other/8		
12	low bone density	C3266069	Bone density below reference range	Finding	low/18, bone/22, density/35		
12	back pain	C0740363	Back pain (with radiation)	Sign or Symptom	back/44, pain/49		
12	back pain	C0438921	Back pain (without radiation)	Finding	back/44, pain/49		
12	bone mineral density	C0005938	Bone density	Clinical Attribute	bone/22, mineral/27, density/35		
12	back pain	C0004604	Pain back	Sign or Symptom	back/44, pain/49		
13	behavior	C0004927	behavior	Individual Behavior	behavior/15		
14	chest tightness	C0232292	Tight chest	Sign or Symptom	chest/29, tightness/35		
14	wheeze	C0043144	Wheezes	Sign or Symptom	wheeze/21		
14	croup	C0010380	Croup	Disease or Syndrome	croup/46		
14	cough	C0010200	Cough	Sign or Symptom	cough/14		
15	Dizziness	C0012833	Dizziness	Sign or Symptom	Dizziness/1		
16	Other	C0205394	Other	Qualitative Concept	Other/21		
16	Cardiac disorders	C0018799	Heart Diseases	Disease or Syndrome	Cardiac/1, disorders/9		
17	Anorexia	C0003123	Anorexia	Disease or Syndrome	Anorexia/1		
18	Peripheral motor neuropathy	C0235025	Neuritis motor	Disease or Syndrome	Peripheral/1, motor/12, neuropathy/18		
19	Intracranial hemorrhage	C0151699	Intracranial haemorrhage NOS	Pathologic Function	Intracranial/1, hemorrhage/14		
2	Total	C0522532	Total (all fractions of)	Quantitative Concept	Total/1		
2	events	C0441471	{Event}	Event	events/22		
2	Total	C0439810	Total	Qualitative Concept	Total/1		
2	Total	C0439175	% of total	Quantitative Concept	Total/1		
2	other	C0205394	Other	Qualitative Concept	other/8		
20	Other	C0205394	Other	Qualitative Concept	Other/28		
20	Nervous system disorders	C0027765	Nervous System Diseases	Disease or Syndrome	Nervous/1, system/9, disorders/16		
21	Total	C0522532	Total (all fractions of)	Quantitative Concept	Total/1		
21	events	C0441471	{Event}	Event	events/24		
21	Total	C0439810	Total	Qualitative Concept	Total/1		
