source_concept_code,source_concept_name,concept_code,concept_name,concept_id,concept_class_id
C045213,hepatitis B hyperimmune globulin,45616169,hepatitis B immune globulin,501343,Ingredient
D014645,"Herpesvirus 3, Human",45617007,Human herpesvirus 3,507832,Ingredient
C043226,meningococcal group A polysaccharide,45618579,meningococcal group A polysaccharide,509079,Ingredient
C037676,meningococcal group C polysaccharide,45614987,meningococcal group C polysaccharide,509081,Ingredient
C099433,heptavalent pneumococcal conjugate vaccine,46257320,heptavalent pneumococcal conjugate vaccine,513909,Ingredient
D009345,Neisseria meningitidis,45611917,Neisseria meningitidis,515671,Ingredient
D009108,Mumps Vaccine,45615590,Mumps Vaccine,523620,Ingredient
C063317,"L1 protein, Human papillomavirus type 16",45613756,"L1 protein, Human papillomavirus type 16 Vaccine",529112,Ingredient
D004168,Diphtheria Toxoid,45611699,"diphtheria toxoid vaccine, inactivated",529303,Ingredient
D013745,Tetanus Toxoid,45613327,"tetanus toxoid vaccine, inactivated",529411,Ingredient
C057664,"Vi polysaccharide vaccine, typhoid",45612553,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain",532881,Ingredient
D018029,Rho(D) Immune Globulin,45619505,Rho(D) Immune Globulin,535714,Ingredient
D000069455,Palivizumab,0,palivizumab,537647,Ingredient
C111186,palivizumab,45611400,palivizumab,537647,Ingredient
D002176,Candida albicans,45611637,Candida albicans,538530,Ingredient
D019433,Chickenpox Vaccine,45614746,Chickenpox Vaccine,543287,Ingredient
C030799,varicella-zoster immune globulin,45614969,varicella-zoster immune globulin,543291,Ingredient
D022123,Lyme Disease Vaccines,45611124,Lyme Disease Vaccine,551463,Ingredient
D016756,"Immunoglobulins, Intravenous",45617076,"Immunoglobulins, Intravenous",551749,Ingredient
D011054,"Poliovirus Vaccine, Inactivated",45619262,"Poliovirus Vaccine, Inactivated",551977,Ingredient
D022341,Yellow Fever Vaccine,45619583,Yellow Fever Vaccine,559532,Ingredient
D006514,Hepatitis B Surface Antigens,45617899,Hepatitis B Surface Antigens,568224,Ingredient
C072045,OspA protein,45616202,OspA protein,571187,Ingredient
C051409,pegademase bovine,45615002,pegademase bovine,581480,Ingredient
C045781,cytomegalovirus-specific hyperimmune globulin,45611340,cytomegalovirus immune globulin,586491,Ingredient
D008458,Measles Vaccine,45610702,Measles Vaccine,594249,Ingredient
D022121,Cholera Vaccines,45612333,Cholera Vaccine,595252,Ingredient
D013874,Thiopental,45615767,Thiopental,700253,Ingredient
D013881,Thioridazine,45610920,Thioridazine,700299,Ingredient
D013888,Thiothixene,45615768,Thiothixene,700465,Ingredient
D008559,Memantine,45617990,Memantine,701322,Ingredient
D008617,Mephenytoin,45616738,Mephenytoin,702661,Ingredient
D008618,Mephobarbital,45611897,Mephobarbital,702685,Ingredient
D008619,Mepivacaine,45611898,Mepivacaine,702774,Ingredient
D008620,Meprobamate,45610712,Meprobamate,702865,Ingredient
D008653,Mesoridazine,45610713,Mesoridazine,703083,Ingredient
C079150,paliperidone,45615028,paliperidone,703244,Ingredient
D014191,Tranylcypromine,45610935,Tranylcypromine,703470,Ingredient
D014196,Trazodone,45618177,Trazodone,703547,Ingredient
D008694,Methamphetamine,45613146,Methamphetamine,704053,Ingredient
D014229,Triazolam,45613357,Triazolam,704599,Ingredient
D008721,Methocarbamol,45610716,Methocarbamol,704943,Ingredient
D014268,Trifluoperazine,45619378,Trifluoperazine,704984,Ingredient
C047781,lamotrigine,45611342,lamotrigine,705103,Ingredient
D014282,Trihexyphenidyl,45610940,Trihexyphenidyl,705178,Ingredient
C049816,hylan,45611347,HYLAN G-F 20,705219,Ingredient
D014299,Trimipramine,45615786,Trimipramine,705755,Ingredient
D008774,Methylphenidate,45619181,Methylphenidate,705944,Ingredient
D014403,Tubocurarine,45613370,Tubocurarine,706644,Ingredient
D008874,Midazolam,45610725,Midazolam,708298,Ingredient
C514020,lisdexamfetamine,45610191,Lisdexamfetamine,709567,Ingredient
D008972,Molindone,45610731,Molindone,709699,Ingredient
D000639,Amitriptyline,45618838,Amitriptyline,710062,Ingredient
C048833,modafinil,45616175,modafinil,710650,Ingredient
D001565,Benzoate,45612846,Benzoate,711452,Ingredient
C026098,"etiracetam, S-isomer",45618555,Levetiracetam,711584,Ingredient
D003620,Dantrolene,45618948,Dantrolene,711714,Ingredient
C092292,ziprasidone,45610156,ziprasidone,712615,Ingredient
D000654,Amobarbital,45614019,Amobarbital,712757,Ingredient
D000657,Amoxapine,45610353,Amoxapine,713109,Ingredient
C043114,fosphenytoin,45611335,fosphenytoin,713192,Ingredient
C044327,interferon beta-1b,45614996,interferon beta-1b,713196,Ingredient
C044327,Interferon beta-1b,0,interferon beta-1b,713196,Ingredient
C046649,ropinirole,45618581,ropinirole,713823,Ingredient
C051752,nefazodone,45610122,nefazodone,714684,Ingredient
D000661,Amphetamine,45614021,Amphetamine,714785,Ingredient
D001418,Baclofen,45610380,Baclofen,715233,Ingredient
C058218,duloxetine,45618593,duloxetine,715259,Ingredient
C059205,tiagabine,45615009,tiagabine,715458,Ingredient
C031967,rasagiline,45614978,rasagiline,715710,Ingredient
C066340,tolcapone,45613761,tolcapone,715727,Ingredient
C076946,donepezil,45613767,donepezil,715997,Ingredient
D003891,Desipramine,45617790,Desipramine,716968,Ingredient
D009388,Neostigmine,45611920,Neostigmine,717136,Ingredient
C036006,oxcarbazepine,45616160,oxcarbazepine,718122,Ingredient
D009538,Nicotine,45610748,Nicotine,718583,Ingredient
D020372,Dexfenfluramine,45618372,Dexfenfluramine,719057,Ingredient
D001589,Benzphetamine,45618863,Benzphetamine,719128,Ingredient
D001590,Benztropine,45610392,Benztropine,719174,Ingredient
D003913,Dextroamphetamine,45618958,Dextroamphetamine,719311,Ingredient
C085665,zaleplon,45618624,zaleplon,720727,Ingredient
C061333,pramipexole,45615013,Pramipexole,720810,Ingredient
D009661,Nortriptyline,45616795,Nortriptyline,721724,Ingredient
D017374,Paroxetine,45617101,Paroxetine,722031,Ingredient
D000068556,Interferon beta-1a,0,Interferon beta-1a,722424,Ingredient
C086937,interferon beta 1a,45613775,Interferon beta-1a,722424,Ingredient
D003975,Diazepam,45615393,Diazepam,723013,Ingredient
C100294,phendimetrazine,45616235,phendimetrazine,723344,Ingredient
D009966,Orphenadrine,45610768,Orphenadrine,724394,Ingredient
D010076,Oxazepam,45619221,Oxazepam,724816,Ingredient
D001712,Biperiden,45611610,Biperiden,724908,Ingredient
C035133,mirtazapine,45612530,Mirtazapine,725131,Ingredient
D004053,Diethylpropion,45610494,Diethylpropion,725822,Ingredient
D010389,Pemoline,45615632,Pemoline,727835,Ingredient
D019274,"Botulinum Toxins, Type A",46256402,Botulinum Toxin Type A,729855,Ingredient
D001971,Bromocriptine,45610407,Bromocriptine,730548,Ingredient
D010424,Pentobarbital,45613209,Pentobarbital,730729,Ingredient
C025130,quazepam,45610081,quazepam,731188,Ingredient
D064699,Dexmethylphenidate,45612431,dexmethylphenidate,731533,Ingredient
D010479,Pergolide,45618065,Pergolide,732309,Ingredient
D002045,Bupivacaine,45610408,Bupivacaine,732893,Ingredient
D010546,Perphenazine,45610799,Perphenazine,733008,Ingredient
D002065,Buspirone,45610409,Buspirone,733301,Ingredient
D000068836,Rivastigmine,0,rivastigmine,733523,Ingredient
C072506,rivastigmine,45612563,rivastigmine,733523,Ingredient
D010624,Phenelzine,45615642,Phenelzine,733896,Ingredient
D010634,Phenobarbital,45616843,Phenobarbital,734275,Ingredient
D000069583,Pregabalin,0,pregabalin,734354,Ingredient
C080245,pregabalin,45610144,pregabalin,734354,Ingredient
D010645,Phentermine,45615646,Phentermine,735340,Ingredient
D000069442,Natalizumab,0,natalizumab,735843,Ingredient
C469407,natalizumab,45610181,natalizumab,735843,Ingredient
D004221,Disulfiram,45618972,Disulfiram,735850,Ingredient
D019782,Riluzole,45613514,Riluzole,735951,Ingredient
D018967,Risperidone,45615905,Risperidone,735979,Ingredient
D004315,Doxapram,45611703,Doxapram,738152,Ingredient
D004316,Doxepin,45614174,Doxepin,738156,Ingredient
D004319,Doxylamine,45614176,Doxylamine,738818,Ingredient
D020280,Sertraline,45615950,Sertraline,739138,Ingredient
D004329,Droperidol,45614177,Droperidol,739323,Ingredient
C058254,sibutramine,45612554,sibutramine,739363,Ingredient
D002220,Carbamazepine,45615333,Carbamazepine,740275,Ingredient
D002230,Carbidopa,45616482,Carbidopa,740560,Ingredient
D010672,Phenytoin,45618073,Phenytoin,740910,Ingredient
D004491,Edrophonium,45612965,Edrophonium,740924,Ingredient
C055122,orlistat,45617393,orlistat,741530,Ingredient
C041930,atomoxetine,45617382,atomoxetine,742185,Ingredient
C052342,topiramate,45616181,topiramate,742267,Ingredient
C021100,trichloroacetaldehyde,45612498,trichloroacetaldehyde,742594,Ingredient
D004737,Enflurane,45616574,Enflurane,743196,Ingredient
C047426,venlafaxine,45613749,venlafaxine,743670,Ingredient
C049109,zolpidem,45611346,zolpidem,744740,Ingredient
C022189,zonisamide,45617354,zonisamide,744798,Ingredient
D004877,Ergoloid Mesylates,45615424,"ergoloid mesylates, USP",745268,Ingredient
D014635,Valproate,45618199,Valproate,745466,Ingredient
D010868,Pimozide,45618077,Pimozide,745790,Ingredient
D004949,Estazolam,45616588,Estazolam,748010,Ingredient
D004984,Ethchlorvynol,45610542,Ethchlorvynol,749727,Ingredient
D002328,Carisoprodol,45615336,Carisoprodol,749910,Ingredient
D005013,Ethosuximide,45619012,Ethosuximide,750119,Ingredient
C084606,ethotoin,45618620,Ethotoin,750146,Ingredient
D016642,Bupropion,45613438,Bupropion,750982,Ingredient
D016651,Lithium Carbonate,45619461,Lithium Carbonate,751246,Ingredient
D011324,Primidone,45610827,Primidone,751347,Ingredient
D016666,Fluvoxamine,45614678,Fluvoxamine,751412,Ingredient
D011343,Procaine,45618101,Procaine,751698,Ingredient
D011346,Prochlorperazine,45615676,Prochlorperazine,752061,Ingredient
D011352,Procyclidine,45616866,Procyclidine,752276,Ingredient
D015742,Propofol,45617039,Propofol,753626,Ingredient
D005277,Fenfluramine,45616600,Fenfluramine,753860,Ingredient
D011530,Protriptyline,45616872,Protriptyline,754270,Ingredient
D005473,Fluoxetine,45614235,Fluoxetine,755695,Ingredient
D005476,Fluphenazine,45615451,Fluphenazine,756018,Ingredient
D005479,Flurazepam,45615452,Flurazepam,756349,Ingredient
D000069582,Eszopiclone,0,Eszopiclone,757352,Ingredient
C515051,eszopiclone,45613831,Eszopiclone,757352,Ingredient
D005702,Galantamine,45615460,Galantamine,757627,Ingredient
D000068180,Aripiprazole,0,aripiprazole,757688,Ingredient
C094645,aripiprazole,45618629,aripiprazole,757688,Ingredient
C100286,methsuximide,45618633,methsuximide,759401,Ingredient
D011729,Pyridostigmine,45610841,Pyridostigmine,759740,Ingredient
D012631,Secobarbital,45610866,Secobarbital,766067,Ingredient
D012642,Selegiline,45612036,Selegiline,766209,Ingredient
D019791,Guanidine,45614753,Guanidine,766337,Ingredient
D006220,Haloperidol,45613007,Haloperidol,766529,Ingredient
C069541,quetiapine,45618610,quetiapine,766814,Ingredient
C070669,lithium citrate,45617402,lithium citrate,767410,Ingredient
D012978,Sodium Oxybate,45610882,Sodium Oxybate,769935,Ingredient
D006919,Hydroxyzine,45617916,Hydroxyzine,777221,Ingredient
D007099,Imipramine,45611831,Imipramine,778268,Ingredient
C023754,tizanidine,45614958,tizanidine,778474,Ingredient
C004704,cyclobenzaprine,45618492,cyclobenzaprine,778711,Ingredient
C011301,metaxalone,45617325,metaxalone,780369,Ingredient
C500838,varenicline,45615074,varenicline,780442,Ingredient
D000068580,Varenicline,0,varenicline,780442,Ingredient
D000525,Alprazolam,45616434,Alprazolam,781039,Ingredient
C495910,ramelteon,45610186,ramelteon,781182,Ingredient
D007520,Isocarboxazid,45614319,Isocarboxazid,781705,Ingredient
D007530,Isoflurane,45615537,Isoflurane,782043,Ingredient
C071192,entacapone,45613763,entacapone,782211,Ingredient
D007649,Ketamine,45611858,Ketamine,785649,Ingredient
C076029,olanzapine,45616206,olanzapine,785788,Ingredient
C047508,rotigotine,45616172,Rotigotine,786426,Ingredient
D007980,Levodopa,45611875,Levodopa,789578,Ingredient
D003009,Chlorazepate,45616509,clorazepate,790253,Ingredient
D008140,Lorazepam,45613114,Lorazepam,791967,Ingredient
D008152,Loxapine,45610690,Loxapine,792263,Ingredient
D008376,Maprotiline,45614348,Maprotiline,794147,Ingredient
D008454,Mazindol,45617986,Mazindol,794229,Ingredient
D002746,Chlorpromazine,45614111,Chlorpromazine,794852,Ingredient
D002753,Chlorzoxazone,45616502,Chlorzoxazone,795113,Ingredient
C047360,felbamate,45611341,felbamate,795661,Ingredient
C040029,gabapentin,45618574,gabapentin,797399,Ingredient
D015283,Citalopram,45619417,Citalopram,797617,Ingredient
D006820,Hyaluronan,45615506,Hyaluronan,798336,Ingredient
D002997,Clomipramine,45614128,Clomipramine,798834,Ingredient
D002998,Clonazepam,45612901,Clonazepam,798874,Ingredient
D003024,Clozapine,45617749,Clozapine,800878,Ingredient
C010175,halazepam,45610045,halazepam,801396,Ingredient
D013390,Succinylcholine,45613314,Succinylcholine,836208,Ingredient
D013619,Tacrine,45612081,Tacrine,836654,Ingredient
D013693,Temazepam,45610909,Temazepam,836715,Ingredient
D013747,Tetrabenazine,45610915,Tetrabenazine,836877,Ingredient
D001058,Apomorphine,45611593,Apomorphine,837027,Ingredient
D002362,Cascara,45617729,Cascara sagrada,900017,Ingredient
D008610,Menthol,45615574,Menthol,901656,Ingredient
D003091,Colistin,45618925,Colistin,901845,Ingredient
C002284,hypromellose,45610011,hypromellose,902251,Ingredient
D013999,Timolol,45616980,Timolol,902427,Ingredient
D014031,Tobramycin,45610924,Tobramycin,902722,Ingredient
C120481,ciclesonide,45616243,ciclesonide,902938,Ingredient
D014047,Tolnaftate,45616983,Tolnaftate,902950,Ingredient
D008625,Tiopronin,45611899,tiopronin,903031,Ingredient
C060344,dolasetron,45616191,Dolasetron,903459,Ingredient
D014212,Tretinoin,45614587,Tretinoin,903643,Ingredient
C043345,emedastine,45613746,emedastine,903893,Ingredient
D014221,Triamcinolone,45613356,Triamcinolone,903963,Ingredient
D008704,Methazolamide,45615579,Methazolamide,904250,Ingredient
D000622,Aminolevulinic Acid,45614017,Aminolevulinic Acid,904351,Ingredient
D008709,Methenamine,45613147,Methenamine,904356,Ingredient
D064098,Esomeprazole,45618483,Esomeprazole,904453,Ingredient
D000069557,Travoprost,0,travoprost,904501,Ingredient
C438103,travoprost,45617439,travoprost,904501,Ingredient
C420823,bimatoprost,45617435,bimatoprost,904525,Ingredient
D000069580,Bimatoprost,0,bimatoprost,904525,Ingredient
D014223,Triamterene,45614588,Triamterene,904542,Ingredient
D014237,Trichlormethiazide,45618180,Trichlormethiazide,904639,Ingredient
C005101,mepenzolate,45613654,Mepenzolate,904704,Ingredient
D014271,Trifluridine,45619379,Trifluridine,905078,Ingredient
D008730,Methoxsalen,45616746,Methoxsalen,905223,Ingredient
C053915,mometasone,45611351,Mometasone,905233,Ingredient
D008736,Methyclothiazide,45610720,Methyclothiazide,905273,Ingredient
D008747,Methylcellulose,45613148,Methylcellulose,905371,Ingredient
D008751,Methylene Blue,45619180,Methylene blue,905518,Ingredient
D014290,Metipranolol,45612126,Metipranolol,905531,Ingredient
D014307,Trioxsalen,45614590,Trioxsalen,905829,Ingredient
D014331,Tropicamide,45619386,Tropicamide,906072,Ingredient
D014357,Trypsin,45616997,TRYPSIN,906149,Ingredient
D008787,Metoclopramide,45614362,Metoclopramide,906780,Ingredient
D015125,Oxyquinoline,45610975,Oxyquinoline,906874,Ingredient
D052200,Lactobacillus reuteri,45619617,Lactobacillus reuteri,906902,Ingredient
D014508,Urea,45612140,Urea,906914,Ingredient
D008788,Metolazone,45616748,Metolazone,907013,Ingredient
C047340,levocabastine,45610115,levocabastine,907553,Ingredient
D008825,Miconazole,45616749,Miconazole,907879,Ingredient
D014740,Vidarabine,45617012,Vidarabine,908126,Ingredient
C016545,magaldrate,45612489,magaldrate,908360,Ingredient
C005479,magnesium carbonate,45618497,magnesium carbonate,908464,Ingredient
D008899,Mineral Oil,45614371,Mineral Oil,908523,Ingredient
C001671,magnesium trisilicate,45618488,magnesium trisilicate,908730,Ingredient
C055085,calcipotriene,45616185,calcipotriene,908921,Ingredient
